employee_id,survey_date,department,tenure_years,performance_rating,engagement_score,feedback_comment
E119,2021-01-01,HR,2.63,3.0,57,"Team events are enjoyable, though they sometimes clash with personal commitments."
E120,2021-01-01,Engineering,1.61,3.3,69,My compensation package is competitive and reflects my contributions.
E121,2021-01-01,Marketing,0.92,4.3,81,Salary reviews have been stagnant despite increased responsibilities.
E122,2021-01-01,Finance,0.85,3.2,60,Performance bonuses are transparent and motivate higher performance.
E123,2021-01-01,Finance,0.96,4.0,83,"Benefits are comprehensive, yet the health plan options could be expanded."
E124,2021-01-01,Operations,0.45,2.7,55,Workload distribution is fair across the department.
E125,2021-01-01,Operations,0.47,3.2,65,Unclear priorities have led to duplicated effort among team members.
E126,2021-01-01,Marketing,0.94,3.8,79,Recognition programs highlight employee achievements effectively.
E127,2021-01-01,HR,0.83,3.2,65,There is a lack of acknowledgment for overtime work during busy periods.
E128,2021-01-01,Marketing,0.64,3.5,71,The recent increase in project deadlines has made it hard to maintain a healthy work-life balance.
E129,2021-01-01,Engineering,0.47,3.1,64,I appreciate the flexible hours policy that lets me attend to family responsibilities.
E130,2021-01-01,Operations,0.41,2.7,49,There are limited opportunities for skill development and promotions within my department.
E066,2022-01-01,Engineering,3.59,3.0,63,The mentorship program has helped me identify clear career growth paths.
E018,2022-01-01,Sales,3.38,2.1,42,"Management often changes priorities without giving enough context, causing confusion."
E112,2022-01-01,Engineering,3.99,4.2,87,I feel valued when my ideas are acknowledged in team meetings.
E037,2022-01-01,Finance,3.92,4.1,82,The office culture feels more like a competitive environment than a collaborative one.
E104,2022-01-01,Engineering,2.9,3.7,78,Team-building events have improved camaraderie among colleagues.
E119,2022-01-01,HR,3.63,2.9,56,My current salary does not reflect the market rates for my role.
E087,2022-01-01,Engineering,3.67,2.6,54,"The performance review process is transparent and fair, which boosts morale."
E101,2022-01-01,Engineering,3.68,2.5,46,"Workload fluctuations are unpredictable, making it difficult to plan personal time."
E111,2022-01-01,Engineering,2.34,1.9,41,The company’s commitment to sustainability aligns well with my personal values.
E076,2022-01-01,Operations,3.37,4.4,89,I would like clearer communication from leadership regarding long-term goals.
E033,2022-01-01,Finance,3.38,2.9,57,The benefits package includes comprehensive health coverage and generous vacation days.
E025,2022-01-01,Finance,3.92,3.9,82,There’s a lack of recognition for the extra effort I put into cross-department projects.
E107,2022-01-01,Sales,3.9,4.0,77,The workplace atmosphere encourages open dialogue and respectful disagreement.
E071,2022-01-01,Marketing,3.95,2.0,38,I’m unsure how my performance metrics will impact future compensation.
E023,2022-01-01,Operations,3.88,3.3,63,The remote work policy has improved my ability to balance professional and personal commitments.
E099,2022-01-01,Engineering,3.42,4.1,80,"The onboarding process was rushed, leaving me uncertain about my responsibilities."
E130,2022-01-01,Operations,1.41,2.5,47,The company’s diverse hiring practices foster a welcoming environment for all employees.
E089,2022-01-01,Sales,3.59,5.0,98,"I love the new training programs, they have really helped my career growth."
E114,2022-01-01,Sales,3.57,2.1,44,Management is very supportive and always willing to listen.
E092,2022-01-01,Marketing,3.87,1.9,41,"The company culture is amazing, everyone is so friendly and helpful."
E125,2022-01-01,Operations,1.47,3.2,67,"I feel underpaid compared to industry standards, compensation needs to be revised."
E124,2022-01-01,Operations,1.45,2.2,41,Flexible working hours have improved my work-life balance significantly.
E072,2022-01-01,HR,3.74,2.8,60,There are limited opportunities for career advancement in my department.
E053,2022-01-01,Finance,3.78,3.0,63,The team outings and social events have really improved the company culture.
E007,2022-01-01,Engineering,4.0,1.1,20,I have a great manager who always provides constructive feedback.
E090,2022-01-01,Sales,3.6,1.8,36,"The salary increase I received was a nice surprise, thanks to the company."
E117,2022-01-01,Marketing,3.85,3.6,73,Sometimes I feel overwhelmed with work and it affects my personal life.
E030,2022-01-01,Finance,3.38,2.4,52,The mentorship program has been incredibly helpful for my career growth.
E105,2022-01-01,HR,3.47,4.2,83,I wish we had more autonomy to make decisions in our team.
E062,2022-01-01,Operations,3.91,4.2,86,The company's mission and values align perfectly with my own.
E057,2022-01-01,Sales,3.68,2.7,50,I'm disappointed with the lack of transparency in the compensation structure.
E120,2022-01-01,Engineering,2.61,3.1,64,"The company has a great work-life balance, I can pursue my hobbies."
E096,2022-01-01,Finance,3.5,4.1,78,"Career growth opportunities are scarce, and it's frustrating."
E005,2022-01-01,Engineering,3.63,1.6,36,"My manager is not very approachable, it's hard to discuss issues."
E110,2022-01-01,Finance,3.34,2.9,62,"The company culture is very inclusive, and I feel valued as an employee."
E070,2022-01-01,HR,3.41,4.2,88,"I'm not satisfied with my current role, and I'm looking for a change."
E127,2022-01-01,HR,1.83,3.7,74,The flexible hours have greatly improved my work‑life balance.
E020,2022-01-01,Marketing,3.38,2.7,57,I appreciate the clear career path options outlined during recent meetings.
E031,2022-01-01,Sales,3.49,1.5,29,Management's communication could be more transparent about project changes.
E052,2022-01-01,Sales,3.98,3.6,70,The inclusive culture makes me feel valued and motivated.
E009,2022-01-01,Sales,3.74,1.3,26,Recent salary adjustments have not kept pace with market rates.
E043,2022-01-01,Sales,3.95,3.9,75,Balancing remote work with occasional office days is working well for me.
E059,2022-01-01,Engineering,3.34,2.6,52,Opportunities for professional development are abundant but under‑utilized.
E056,2022-01-01,Finance,3.89,3.9,74,"Decision‑making feels too centralized, limiting team autonomy."
E045,2022-01-01,Finance,3.76,1.5,29,Team events foster a strong sense of community and belonging.
E126,2022-01-01,Marketing,1.94,3.7,78,The bonus structure feels unpredictable and unclear.
E032,2022-01-01,Operations,3.79,2.2,42,Having a set end‑of‑day cutoff helps maintain personal time.
E080,2022-01-01,HR,3.53,2.6,55,Mentorship programs have accelerated my skill growth.
E108,2022-01-01,Operations,3.36,2.3,42,Performance reviews often lack specific feedback.
E069,2022-01-01,Sales,3.37,4.2,87,The open‑door policy encourages honest dialogue across levels.
E060,2022-01-01,Sales,3.46,4.8,96,Benefits packages are competitive but could include more wellness options.
E074,2022-01-01,Marketing,3.75,4.3,82,Occasional overtime is manageable thanks to supportive managers.
E085,2022-01-01,Operations,3.34,2.7,57,Career advancement seems slow despite strong performance.
E021,2022-01-01,Engineering,3.78,3.5,69,Leadership shows genuine interest in employee wellbeing.
E098,2022-01-01,Sales,3.4,1.8,35,Compensation packages need better alignment with cost‑of‑living increases.
E102,2022-01-01,Operations,3.54,3.0,55,The collaborative environment makes daily tasks enjoyable.
E064,2022-01-01,Operations,3.53,2.1,45,"I appreciate the regular check-ins, but sometimes I feel the workload is overwhelming."
E115,2022-01-01,Sales,3.63,3.8,73,I wish there were more opportunities for professional development within the company.
E051,2022-01-01,Sales,3.86,3.1,60,"The recent policy change has increased my overtime hours, impacting my personal life."
E006,2022-01-01,Engineering,3.76,4.0,84,Management's communication has been clear and supportive during the transition.
E035,2022-01-01,Engineering,3.95,1.0,18,The benefits package feels competitive but could include more health coverage.
E047,2022-01-01,Sales,3.58,1.3,27,"I feel my ideas are often overlooked during meetings, which is discouraging."
E084,2022-01-01,Sales,3.82,5.0,97,The team culture encourages collaboration and creativity.
E026,2022-01-01,HR,3.59,2.1,47,I am not satisfied with the current salary compared to industry standards.
E013,2022-01-01,Finance,3.57,2.0,37,"There is a strong sense of community here, which makes coming to work enjoyable."
E116,2022-01-01,Marketing,3.67,4.3,91,"The career path is unclear, making it hard to set long-term goals."
E004,2022-01-01,HR,3.85,3.4,66,I appreciate the mentorship program; it's helped me grow professionally.
E118,2022-01-01,Engineering,3.72,4.5,92,The new project deadlines are unrealistic and stress the entire team.
E014,2022-01-01,Operations,3.43,2.7,59,Management often listens to feedback but rarely acts on it.
E113,2022-01-01,Engineering,3.85,3.8,79,The flexible schedule policy allows me to balance personal responsibilities.
E027,2022-01-01,Operations,3.46,4.6,94,I would like more transparent criteria for promotions.
E073,2022-01-01,Sales,3.58,4.9,100,The office environment feels inclusive and respectful.
E011,2022-01-01,Operations,3.87,3.6,73,The performance bonus structure is unclear and difficult to navigate.
E106,2022-01-01,Engineering,3.31,1.6,31,The company hosts regular social events that strengthen team bonds.
E094,2022-01-01,Marketing,1.43,2.8,57,I feel undervalued when my contributions are not acknowledged.
E095,2022-01-01,Marketing,3.59,2.5,52,"I love the opportunities for career growth here, it's amazing."
E096,2022-01-01,Finance,4.5,4.6,95,"Management is very supportive, they always listen to our concerns."
E097,2022-01-01,Sales,1.86,3.1,65,"The company culture is not very inclusive, we need to work on that."
E098,2022-01-01,Sales,4.4,2.1,41,"I feel underpaid compared to the industry standard, it's frustrating."
E099,2022-01-01,Engineering,4.42,4.5,86,The flexible hours really help me achieve a better work-life balance.
E100,2022-01-01,Finance,1.63,1.0,24,I'm excited about the new training programs for career development.
E101,2022-01-01,Engineering,4.68,2.3,46,"Sometimes I feel micromanaged, it's affecting my productivity."
E102,2022-01-01,Operations,4.54,3.3,67,"The team outings are fun, they really help to build a positive culture."
E103,2022-01-01,Finance,3.4,2.2,46,"The salary increase this year was a nice surprise, thanks to the company."
E104,2022-01-01,Engineering,3.9,3.3,67,"I wish we had more autonomy in our projects, it would be great for growth."
E105,2022-01-01,HR,4.47,4.5,86,The communication from upper management is not very clear or transparent.
E106,2022-01-01,Engineering,4.31,1.6,30,"I love the fact that we can work from home, it's a big plus for me."
E107,2022-01-01,Sales,4.9,3.6,75,"The company's mission and values really align with my own, I'm proud to work here."
E108,2022-01-01,Operations,4.36,2.0,40,The lack of clear goals and expectations is causing some confusion.
E109,2022-01-01,Engineering,3.75,3.1,64,"The benefits package is excellent, it's one of the reasons I stay."
E110,2022-01-01,Finance,4.34,2.7,50,"There's a lot of favoritism in promotions, it's not very fair."
E111,2022-01-01,Engineering,3.34,2.3,44,"I'm learning so much from my colleagues, the knowledge sharing is great."
E112,2022-01-01,Engineering,4.99,4.4,93,"The office environment is not very comfortable, we need better equipment."
E113,2022-01-01,Engineering,4.85,4.0,83,"The recognition for our hard work is lacking, it would be nice to feel appreciated."
E114,2022-01-01,Sales,4.57,1.7,36,Flexible remote work options have greatly improved my work-life balance.
E115,2022-01-01,Sales,4.63,3.7,77,The recent increase in project deadlines is making it hard to maintain a healthy personal schedule.
E116,2022-01-01,Marketing,4.67,3.9,80,I appreciate the clear career path outlined during my last performance review.
E117,2022-01-01,Marketing,4.85,3.8,80,Opportunities for skill development feel stagnant at the moment.
E118,2022-01-01,Engineering,4.72,4.4,83,Management communicates expectations clearly and supports team decisions.
E119,2022-01-01,HR,4.63,3.0,60,Inconsistent feedback from supervisors leaves the team uncertain about priorities.
E120,2022-01-01,Engineering,3.61,3.1,63,The company's inclusive culture makes me feel valued and respected.
E121,2022-01-01,Marketing,1.92,3.8,73,"There is a noticeable lack of collaboration between departments, affecting overall morale."
E122,2022-01-01,Finance,1.85,3.1,60,Competitive salaries and bonuses reflect the market standards positively.
E123,2022-01-01,Finance,1.96,3.7,77,"The recent salary adjustments did not keep pace with inflation, causing concerns."
E124,2022-01-01,Operations,2.45,2.0,39,Having access to wellness programs has boosted my overall job satisfaction.
E125,2022-01-01,Operations,2.47,3.5,70,Limited vacation days make it difficult to recharge during busy periods.
E126,2022-01-01,Marketing,2.94,3.9,79,Mentorship programs have helped me advance my professional goals.
E127,2022-01-01,HR,2.83,3.9,80,Career advancement feels limited due to unclear promotion criteria.
E128,2022-01-01,Marketing,1.64,3.4,68,Leadership consistently acknowledges and celebrates team achievements.
E129,2022-01-01,Engineering,1.47,3.5,67,Decision‑making processes often feel opaque and top‑down.
E130,2022-01-01,Operations,2.41,2.6,56,The office environment fosters creativity and open communication.
E131,2022-01-01,Marketing,0.82,3.4,65,High turnover in the team suggests underlying cultural issues.
E132,2022-01-01,HR,0.47,2.8,55,Performance incentives are motivating and align with our targets.
E133,2022-01-01,Engineering,0.98,3.6,72,Lack of transparent compensation structures creates uncertainty among staff.
